Using device: cpu
PG training on LunarLander-v3 | reward_to_go=False adv_norm=True
Saved latest PG checkpoint (iter 180) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 181/500 | Mean Reward=-125.97
[PG] Iter 182/500 | Mean Reward=-65.70
[PG] Iter 183/500 | Mean Reward=-161.44
[PG] Iter 184/500 | Mean Reward=-118.58
[PG] Iter 185/500 | Mean Reward=-76.72
[PG] Iter 186/500 | Mean Reward=-89.77
[PG] Iter 187/500 | Mean Reward=-178.72
[PG] Iter 188/500 | Mean Reward=-108.28
[PG] Iter 189/500 | Mean Reward=-136.50
[PG] Iter 190/500 | Mean Reward=-84.75
Saved latest PG checkpoint (iter 190) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 191/500 | Mean Reward=-81.68
[PG] Iter 192/500 | Mean Reward=-164.30
[PG] Iter 193/500 | Mean Reward=-141.10
[PG] Iter 194/500 | Mean Reward=-168.01
[PG] Iter 195/500 | Mean Reward=-227.04
[PG] Iter 196/500 | Mean Reward=-159.04
[PG] Iter 197/500 | Mean Reward=-182.98
[PG] Iter 198/500 | Mean Reward=-98.35
[PG] Iter 199/500 | Mean Reward=-187.83
[PG] Iter 200/500 | Mean Reward=-155.81
Saved latest PG checkpoint (iter 200) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 201/500 | Mean Reward=-171.37
[PG] Iter 202/500 | Mean Reward=-135.18
[PG] Iter 203/500 | Mean Reward=-131.87
[PG] Iter 204/500 | Mean Reward=-187.48
[PG] Iter 205/500 | Mean Reward=-133.59
[PG] Iter 206/500 | Mean Reward=-179.38
[PG] Iter 207/500 | Mean Reward=-59.94
[PG] Iter 208/500 | Mean Reward=-128.78
[PG] Iter 209/500 | Mean Reward=-192.67
[PG] Iter 210/500 | Mean Reward=-140.29
Saved latest PG checkpoint (iter 210) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 211/500 | Mean Reward=-143.48
[PG] Iter 212/500 | Mean Reward=-150.78
[PG] Iter 213/500 | Mean Reward=-192.25
[PG] Iter 214/500 | Mean Reward=-128.39
[PG] Iter 215/500 | Mean Reward=-136.49
[PG] Iter 216/500 | Mean Reward=-193.59
[PG] Iter 217/500 | Mean Reward=-117.86
[PG] Iter 218/500 | Mean Reward=-103.48
[PG] Iter 219/500 | Mean Reward=-160.38
[PG] Iter 220/500 | Mean Reward=-73.44
Saved latest PG checkpoint (iter 220) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 221/500 | Mean Reward=-75.59
[PG] Iter 222/500 | Mean Reward=-120.64
[PG] Iter 223/500 | Mean Reward=-91.92
[PG] Iter 224/500 | Mean Reward=-113.31
[PG] Iter 225/500 | Mean Reward=-35.91
[PG] Iter 226/500 | Mean Reward=-111.21
[PG] Iter 227/500 | Mean Reward=-91.81
[PG] Iter 228/500 | Mean Reward=-36.34
[PG] Iter 229/500 | Mean Reward=-40.76
[PG] Iter 230/500 | Mean Reward=-66.14
Saved latest PG checkpoint (iter 230) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 231/500 | Mean Reward=-48.85
[PG] Iter 232/500 | Mean Reward=-57.17
[PG] Iter 233/500 | Mean Reward=-147.20
[PG] Iter 234/500 | Mean Reward=-68.70
[PG] Iter 235/500 | Mean Reward=-95.04
[PG] Iter 236/500 | Mean Reward=-123.64
[PG] Iter 237/500 | Mean Reward=-133.99
[PG] Iter 238/500 | Mean Reward=-68.74
[PG] Iter 239/500 | Mean Reward=-151.21
[PG] Iter 240/500 | Mean Reward=-71.23
Saved latest PG checkpoint (iter 240) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 241/500 | Mean Reward=-73.82
[PG] Iter 242/500 | Mean Reward=-87.35
[PG] Iter 243/500 | Mean Reward=-93.47
[PG] Iter 244/500 | Mean Reward=-132.10
[PG] Iter 245/500 | Mean Reward=-121.16
[PG] Iter 246/500 | Mean Reward=-124.44
[PG] Iter 247/500 | Mean Reward=-69.13
[PG] Iter 248/500 | Mean Reward=-60.90
[PG] Iter 249/500 | Mean Reward=-135.08
[PG] Iter 250/500 | Mean Reward=-106.93
Saved latest PG checkpoint (iter 250) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 251/500 | Mean Reward=-59.59
[PG] Iter 252/500 | Mean Reward=-56.63
[PG] Iter 253/500 | Mean Reward=-78.02
[PG] Iter 254/500 | Mean Reward=-37.67
[PG] Iter 255/500 | Mean Reward=-56.64
[PG] Iter 256/500 | Mean Reward=-127.45
[PG] Iter 257/500 | Mean Reward=-29.30
[PG] Iter 258/500 | Mean Reward=-47.72
[PG] Iter 259/500 | Mean Reward=-7.57
[PG] Iter 260/500 | Mean Reward=-29.51
Saved latest PG checkpoint (iter 260) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 261/500 | Mean Reward=-42.75
[PG] Iter 262/500 | Mean Reward=-43.28
[PG] Iter 263/500 | Mean Reward=-60.27
[PG] Iter 264/500 | Mean Reward=-114.97
[PG] Iter 265/500 | Mean Reward=-43.27
[PG] Iter 266/500 | Mean Reward=-38.14
