Using device: cpu
PG training on LunarLander-v3 | reward_to_go=False adv_norm=False
[PG] Iter 240/500 | Mean Reward=-58.34
Saved latest PG checkpoint (iter 240) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 241/500 | Mean Reward=-54.90
[PG] Iter 242/500 | Mean Reward=-51.21
[PG] Iter 243/500 | Mean Reward=-44.33
[PG] Iter 244/500 | Mean Reward=-39.14
[PG] Iter 245/500 | Mean Reward=-60.35
[PG] Iter 246/500 | Mean Reward=-61.66
[PG] Iter 247/500 | Mean Reward=-56.32
[PG] Iter 248/500 | Mean Reward=-45.54
[PG] Iter 249/500 | Mean Reward=-55.66
[PG] Iter 250/500 | Mean Reward=-63.03
Saved latest PG checkpoint (iter 250) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 251/500 | Mean Reward=-52.35
[PG] Iter 252/500 | Mean Reward=-62.95
[PG] Iter 253/500 | Mean Reward=-32.57
[PG] Iter 254/500 | Mean Reward=-71.65
[PG] Iter 255/500 | Mean Reward=-52.04
[PG] Iter 256/500 | Mean Reward=-45.59
[PG] Iter 257/500 | Mean Reward=-39.83
[PG] Iter 258/500 | Mean Reward=-54.53
[PG] Iter 259/500 | Mean Reward=-58.86
[PG] Iter 260/500 | Mean Reward=-70.44
Saved latest PG checkpoint (iter 260) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 261/500 | Mean Reward=-52.93
[PG] Iter 262/500 | Mean Reward=-57.63
[PG] Iter 263/500 | Mean Reward=-42.69
[PG] Iter 264/500 | Mean Reward=-63.00
[PG] Iter 265/500 | Mean Reward=-45.52
[PG] Iter 266/500 | Mean Reward=-55.71
[PG] Iter 267/500 | Mean Reward=-39.75
[PG] Iter 268/500 | Mean Reward=-66.92
[PG] Iter 269/500 | Mean Reward=-42.61
[PG] Iter 270/500 | Mean Reward=-49.32
Saved latest PG checkpoint (iter 270) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 271/500 | Mean Reward=-38.73
[PG] Iter 272/500 | Mean Reward=-65.80
[PG] Iter 273/500 | Mean Reward=-53.01
[PG] Iter 274/500 | Mean Reward=-59.26
[PG] Iter 275/500 | Mean Reward=-37.86
[PG] Iter 276/500 | Mean Reward=-29.17
[PG] Iter 277/500 | Mean Reward=-53.22
[PG] Iter 278/500 | Mean Reward=-36.64
[PG] Iter 279/500 | Mean Reward=-32.99
[PG] Iter 280/500 | Mean Reward=-38.36
