Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=False
[PG] Iter 280/500 | Mean Reward=14.84
Saved latest PG checkpoint (iter 280) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 281/500 | Mean Reward=0.96
[PG] Iter 282/500 | Mean Reward=27.18
[PG] Iter 283/500 | Mean Reward=20.58
[PG] Iter 284/500 | Mean Reward=-3.82
[PG] Iter 285/500 | Mean Reward=18.10
[PG] Iter 286/500 | Mean Reward=13.90
[PG] Iter 287/500 | Mean Reward=19.63
[PG] Iter 288/500 | Mean Reward=18.12
[PG] Iter 289/500 | Mean Reward=20.34
[PG] Iter 290/500 | Mean Reward=43.05
Saved latest PG checkpoint (iter 290) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 291/500 | Mean Reward=36.48
[PG] Iter 292/500 | Mean Reward=36.76
[PG] Iter 293/500 | Mean Reward=25.85
[PG] Iter 294/500 | Mean Reward=11.10
[PG] Iter 295/500 | Mean Reward=2.20
[PG] Iter 296/500 | Mean Reward=40.26
[PG] Iter 297/500 | Mean Reward=26.19
[PG] Iter 298/500 | Mean Reward=19.84
[PG] Iter 299/500 | Mean Reward=46.66
[PG] Iter 300/500 | Mean Reward=8.91
Saved latest PG checkpoint (iter 300) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 301/500 | Mean Reward=-3.76
[PG] Iter 302/500 | Mean Reward=17.64
[PG] Iter 303/500 | Mean Reward=1.02
[PG] Iter 304/500 | Mean Reward=8.79
[PG] Iter 305/500 | Mean Reward=23.49
[PG] Iter 306/500 | Mean Reward=23.60
[PG] Iter 307/500 | Mean Reward=28.06
[PG] Iter 308/500 | Mean Reward=31.48
[PG] Iter 309/500 | Mean Reward=40.83
[PG] Iter 310/500 | Mean Reward=7.85
Saved latest PG checkpoint (iter 310) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 311/500 | Mean Reward=41.20
[PG] Iter 312/500 | Mean Reward=17.99
[PG] Iter 313/500 | Mean Reward=32.43
[PG] Iter 314/500 | Mean Reward=60.25
[PG] Iter 315/500 | Mean Reward=58.72
[PG] Iter 316/500 | Mean Reward=40.19
[PG] Iter 317/500 | Mean Reward=57.39
[PG] Iter 318/500 | Mean Reward=39.40
[PG] Iter 319/500 | Mean Reward=42.69
[PG] Iter 320/500 | Mean Reward=24.17
Saved latest PG checkpoint (iter 320) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 321/500 | Mean Reward=60.52
[PG] Iter 322/500 | Mean Reward=43.94
[PG] Iter 323/500 | Mean Reward=25.07
[PG] Iter 324/500 | Mean Reward=38.31
[PG] Iter 325/500 | Mean Reward=63.93
[PG] Iter 326/500 | Mean Reward=52.65
[PG] Iter 327/500 | Mean Reward=64.09
[PG] Iter 328/500 | Mean Reward=60.42
[PG] Iter 329/500 | Mean Reward=52.33
[PG] Iter 330/500 | Mean Reward=77.62
Saved latest PG checkpoint (iter 330) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 331/500 | Mean Reward=4.99
[PG] Iter 332/500 | Mean Reward=76.35
[PG] Iter 333/500 | Mean Reward=59.73
[PG] Iter 334/500 | Mean Reward=65.56
[PG] Iter 335/500 | Mean Reward=62.74
[PG] Iter 336/500 | Mean Reward=96.03
[PG] Iter 337/500 | Mean Reward=46.22
[PG] Iter 338/500 | Mean Reward=24.03
[PG] Iter 339/500 | Mean Reward=28.53
[PG] Iter 340/500 | Mean Reward=104.07
Saved latest PG checkpoint (iter 340) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 341/500 | Mean Reward=50.54
[PG] Iter 342/500 | Mean Reward=110.89
[PG] Iter 343/500 | Mean Reward=78.83
[PG] Iter 344/500 | Mean Reward=35.33
[PG] Iter 345/500 | Mean Reward=46.31
[PG] Iter 346/500 | Mean Reward=27.07
[PG] Iter 347/500 | Mean Reward=71.83
[PG] Iter 348/500 | Mean Reward=74.54
[PG] Iter 349/500 | Mean Reward=49.81
[PG] Iter 350/500 | Mean Reward=61.39
Saved latest PG checkpoint (iter 350) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 351/500 | Mean Reward=60.57
[PG] Iter 352/500 | Mean Reward=71.57
