Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
[PG] Iter 150/500 | Mean Reward=-29.22
Saved latest PG checkpoint (iter 150) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 151/500 | Mean Reward=-35.56
[PG] Iter 152/500 | Mean Reward=-30.16
[PG] Iter 153/500 | Mean Reward=-19.29
[PG] Iter 154/500 | Mean Reward=-16.02
[PG] Iter 155/500 | Mean Reward=-13.85
[PG] Iter 156/500 | Mean Reward=-23.07
[PG] Iter 157/500 | Mean Reward=-76.92
[PG] Iter 158/500 | Mean Reward=-23.98
[PG] Iter 159/500 | Mean Reward=-51.94
[PG] Iter 160/500 | Mean Reward=-20.49
Saved latest PG checkpoint (iter 160) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 161/500 | Mean Reward=-20.81
[PG] Iter 162/500 | Mean Reward=-19.46
[PG] Iter 163/500 | Mean Reward=-3.18
[PG] Iter 164/500 | Mean Reward=-49.61
[PG] Iter 165/500 | Mean Reward=-26.49
[PG] Iter 166/500 | Mean Reward=-36.95
[PG] Iter 167/500 | Mean Reward=-7.17
[PG] Iter 168/500 | Mean Reward=-15.47
[PG] Iter 169/500 | Mean Reward=-1.43
[PG] Iter 170/500 | Mean Reward=-38.64
Saved latest PG checkpoint (iter 170) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 171/500 | Mean Reward=-0.68
[PG] Iter 172/500 | Mean Reward=-9.59
[PG] Iter 173/500 | Mean Reward=-15.39
[PG] Iter 174/500 | Mean Reward=-38.79
[PG] Iter 175/500 | Mean Reward=-24.31
[PG] Iter 176/500 | Mean Reward=-36.43
[PG] Iter 177/500 | Mean Reward=-7.03
[PG] Iter 178/500 | Mean Reward=3.78
[PG] Iter 179/500 | Mean Reward=-52.38
[PG] Iter 180/500 | Mean Reward=0.54
Saved latest PG checkpoint (iter 180) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 181/500 | Mean Reward=-3.22
[PG] Iter 182/500 | Mean Reward=18.44
[PG] Iter 183/500 | Mean Reward=-19.31
[PG] Iter 184/500 | Mean Reward=0.80
[PG] Iter 185/500 | Mean Reward=2.10
[PG] Iter 186/500 | Mean Reward=-40.95
[PG] Iter 187/500 | Mean Reward=-27.75
[PG] Iter 188/500 | Mean Reward=-7.12
[PG] Iter 189/500 | Mean Reward=-24.84
[PG] Iter 190/500 | Mean Reward=-32.76
Saved latest PG checkpoint (iter 190) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 191/500 | Mean Reward=-5.20
[PG] Iter 192/500 | Mean Reward=-5.96
[PG] Iter 193/500 | Mean Reward=-50.70
[PG] Iter 194/500 | Mean Reward=-7.41
[PG] Iter 195/500 | Mean Reward=-22.10
[PG] Iter 196/500 | Mean Reward=8.99
[PG] Iter 197/500 | Mean Reward=11.79
[PG] Iter 198/500 | Mean Reward=8.78
[PG] Iter 199/500 | Mean Reward=-8.19
[PG] Iter 200/500 | Mean Reward=-13.18
Saved latest PG checkpoint (iter 200) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 201/500 | Mean Reward=17.08
[PG] Iter 202/500 | Mean Reward=-10.11
[PG] Iter 203/500 | Mean Reward=-14.96
[PG] Iter 204/500 | Mean Reward=18.58
[PG] Iter 205/500 | Mean Reward=-21.33
[PG] Iter 206/500 | Mean Reward=23.39
[PG] Iter 207/500 | Mean Reward=-21.85
[PG] Iter 208/500 | Mean Reward=-34.59
[PG] Iter 209/500 | Mean Reward=12.61
[PG] Iter 210/500 | Mean Reward=-21.27
Saved latest PG checkpoint (iter 210) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 211/500 | Mean Reward=-8.29
[PG] Iter 212/500 | Mean Reward=-35.01
[PG] Iter 213/500 | Mean Reward=-15.67
[PG] Iter 214/500 | Mean Reward=-32.30
[PG] Iter 215/500 | Mean Reward=18.52
[PG] Iter 216/500 | Mean Reward=-8.69
[PG] Iter 217/500 | Mean Reward=-3.62
[PG] Iter 218/500 | Mean Reward=48.98
[PG] Iter 219/500 | Mean Reward=34.44
[PG] Iter 220/500 | Mean Reward=11.54
Saved latest PG checkpoint (iter 220) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 221/500 | Mean Reward=-2.09
[PG] Iter 222/500 | Mean Reward=16.72
[PG] Iter 223/500 | Mean Reward=-4.79
[PG] Iter 224/500 | Mean Reward=33.70
[PG] Iter 225/500 | Mean Reward=20.71
[PG] Iter 226/500 | Mean Reward=-21.42
[PG] Iter 227/500 | Mean Reward=20.38
[PG] Iter 228/500 | Mean Reward=14.88
[PG] Iter 229/500 | Mean Reward=-60.21
[PG] Iter 230/500 | Mean Reward=26.39
Saved latest PG checkpoint (iter 230) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 231/500 | Mean Reward=45.68
[PG] Iter 232/500 | Mean Reward=17.03
[PG] Iter 233/500 | Mean Reward=24.74
[PG] Iter 234/500 | Mean Reward=24.03
[PG] Iter 235/500 | Mean Reward=1.94
[PG] Iter 236/500 | Mean Reward=9.80
[PG] Iter 237/500 | Mean Reward=21.69
[PG] Iter 238/500 | Mean Reward=7.23
[PG] Iter 239/500 | Mean Reward=34.95
[PG] Iter 240/500 | Mean Reward=30.06
Saved latest PG checkpoint (iter 240) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 241/500 | Mean Reward=23.34
[PG] Iter 242/500 | Mean Reward=32.37
[PG] Iter 243/500 | Mean Reward=-10.80
[PG] Iter 244/500 | Mean Reward=13.25
[PG] Iter 245/500 | Mean Reward=11.34
[PG] Iter 246/500 | Mean Reward=9.77
[PG] Iter 247/500 | Mean Reward=2.69
[PG] Iter 248/500 | Mean Reward=39.82
[PG] Iter 249/500 | Mean Reward=23.79
[PG] Iter 250/500 | Mean Reward=39.25
Saved latest PG checkpoint (iter 250) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 251/500 | Mean Reward=66.48
[PG] Iter 252/500 | Mean Reward=47.65
[PG] Iter 253/500 | Mean Reward=18.59
[PG] Iter 254/500 | Mean Reward=29.01
[PG] Iter 255/500 | Mean Reward=28.14
[PG] Iter 256/500 | Mean Reward=43.95
[PG] Iter 257/500 | Mean Reward=39.56
[PG] Iter 258/500 | Mean Reward=25.20
[PG] Iter 259/500 | Mean Reward=32.10
[PG] Iter 260/500 | Mean Reward=47.70
Saved latest PG checkpoint (iter 260) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 261/500 | Mean Reward=26.81
[PG] Iter 262/500 | Mean Reward=34.21
[PG] Iter 263/500 | Mean Reward=51.89
[PG] Iter 264/500 | Mean Reward=60.07
[PG] Iter 265/500 | Mean Reward=-26.16
[PG] Iter 266/500 | Mean Reward=43.98
[PG] Iter 267/500 | Mean Reward=59.48
[PG] Iter 268/500 | Mean Reward=50.13
[PG] Iter 269/500 | Mean Reward=-35.60
[PG] Iter 270/500 | Mean Reward=32.96
Saved latest PG checkpoint (iter 270) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 271/500 | Mean Reward=10.16
[PG] Iter 272/500 | Mean Reward=33.03
[PG] Iter 273/500 | Mean Reward=53.72
[PG] Iter 274/500 | Mean Reward=37.95
[PG] Iter 275/500 | Mean Reward=56.97
[PG] Iter 276/500 | Mean Reward=24.79
[PG] Iter 277/500 | Mean Reward=39.98
[PG] Iter 278/500 | Mean Reward=55.11
[PG] Iter 279/500 | Mean Reward=48.01
[PG] Iter 280/500 | Mean Reward=48.97
Saved latest PG checkpoint (iter 280) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 281/500 | Mean Reward=45.58
[PG] Iter 282/500 | Mean Reward=64.74
[PG] Iter 283/500 | Mean Reward=82.71
[PG] Iter 284/500 | Mean Reward=87.49
[PG] Iter 285/500 | Mean Reward=69.06
[PG] Iter 286/500 | Mean Reward=41.89
[PG] Iter 287/500 | Mean Reward=57.88
[PG] Iter 288/500 | Mean Reward=64.91
[PG] Iter 289/500 | Mean Reward=31.47
[PG] Iter 290/500 | Mean Reward=49.09
Saved latest PG checkpoint (iter 290) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 291/500 | Mean Reward=24.73
[PG] Iter 292/500 | Mean Reward=46.35
[PG] Iter 293/500 | Mean Reward=38.74
[PG] Iter 294/500 | Mean Reward=18.36
[PG] Iter 295/500 | Mean Reward=45.96
[PG] Iter 296/500 | Mean Reward=52.89
[PG] Iter 297/500 | Mean Reward=33.65
[PG] Iter 298/500 | Mean Reward=25.49
[PG] Iter 299/500 | Mean Reward=45.14
[PG] Iter 300/500 | Mean Reward=58.55
Saved latest PG checkpoint (iter 300) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 301/500 | Mean Reward=87.54
[PG] Iter 302/500 | Mean Reward=60.47
[PG] Iter 303/500 | Mean Reward=92.44
[PG] Iter 304/500 | Mean Reward=63.20
[PG] Iter 305/500 | Mean Reward=72.49
[PG] Iter 306/500 | Mean Reward=48.72
[PG] Iter 307/500 | Mean Reward=61.75
