Using device: cpu
PG training on CartPole-v1 | reward_to_go=True adv_norm=True
[PG] Iter 151/350 | Mean Reward=424.67
[PG] Iter 152/350 | Mean Reward=341.67
[PG] Iter 153/350 | Mean Reward=373.00
[PG] Iter 154/350 | Mean Reward=333.50
[PG] Iter 155/350 | Mean Reward=386.67
[PG] Iter 156/350 | Mean Reward=392.00
[PG] Iter 157/350 | Mean Reward=457.00
[PG] Iter 158/350 | Mean Reward=362.67
[PG] Iter 159/350 | Mean Reward=427.33
[PG] Iter 160/350 | Mean Reward=417.33
Saved latest PG checkpoint (iter 160) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 161/350 | Mean Reward=365.25
[PG] Iter 162/350 | Mean Reward=391.33
[PG] Iter 163/350 | Mean Reward=330.50
[PG] Iter 164/350 | Mean Reward=336.00
[PG] Iter 165/350 | Mean Reward=347.00
[PG] Iter 166/350 | Mean Reward=379.00
[PG] Iter 167/350 | Mean Reward=355.33
[PG] Iter 168/350 | Mean Reward=440.00
[PG] Iter 169/350 | Mean Reward=449.67
[PG] Iter 170/350 | Mean Reward=365.33
Saved latest PG checkpoint (iter 170) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 171/350 | Mean Reward=408.00
[PG] Iter 172/350 | Mean Reward=401.33
[PG] Iter 173/350 | Mean Reward=500.00
[PG] Iter 174/350 | Mean Reward=395.33
[PG] Iter 175/350 | Mean Reward=368.00
[PG] Iter 176/350 | Mean Reward=485.67
[PG] Iter 177/350 | Mean Reward=356.33
[PG] Iter 178/350 | Mean Reward=500.00
[PG] Iter 179/350 | Mean Reward=500.00
[PG] Iter 180/350 | Mean Reward=380.00
Saved latest PG checkpoint (iter 180) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 181/350 | Mean Reward=324.25
[PG] Iter 182/350 | Mean Reward=383.00
[PG] Iter 183/350 | Mean Reward=500.00
[PG] Iter 184/350 | Mean Reward=352.00
[PG] Iter 185/350 | Mean Reward=406.33
[PG] Iter 186/350 | Mean Reward=400.67
[PG] Iter 187/350 | Mean Reward=384.67
[PG] Iter 188/350 | Mean Reward=444.00
[PG] Iter 189/350 | Mean Reward=473.67
[PG] Iter 190/350 | Mean Reward=356.67
Saved latest PG checkpoint (iter 190) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 191/350 | Mean Reward=500.00
[PG] Iter 192/350 | Mean Reward=500.00
[PG] Iter 193/350 | Mean Reward=500.00
[PG] Iter 194/350 | Mean Reward=315.75
[PG] Iter 195/350 | Mean Reward=402.00
[PG] Iter 196/350 | Mean Reward=500.00
[PG] Iter 197/350 | Mean Reward=454.00
[PG] Iter 198/350 | Mean Reward=393.67
[PG] Iter 199/350 | Mean Reward=500.00
[PG] Iter 200/350 | Mean Reward=441.00
