Using device: cpu
PG training on CartPole-v1 | reward_to_go=False adv_norm=False
[PG] Iter 199/350 | Mean Reward=317.12
[PG] Iter 200/350 | Mean Reward=376.21
Saved latest PG checkpoint (iter 200) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 201/350 | Mean Reward=268.74
[PG] Iter 202/350 | Mean Reward=300.12
[PG] Iter 203/350 | Mean Reward=323.25
[PG] Iter 204/350 | Mean Reward=285.61
[PG] Iter 205/350 | Mean Reward=271.00
[PG] Iter 206/350 | Mean Reward=299.82
[PG] Iter 207/350 | Mean Reward=249.62
[PG] Iter 208/350 | Mean Reward=261.25
[PG] Iter 209/350 | Mean Reward=289.39
[PG] Iter 210/350 | Mean Reward=273.05
Saved latest PG checkpoint (iter 210) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 211/350 | Mean Reward=240.95
[PG] Iter 212/350 | Mean Reward=295.65
[PG] Iter 213/350 | Mean Reward=311.82
[PG] Iter 214/350 | Mean Reward=281.50
[PG] Iter 215/350 | Mean Reward=296.28
[PG] Iter 216/350 | Mean Reward=317.25
[PG] Iter 217/350 | Mean Reward=313.75
[PG] Iter 218/350 | Mean Reward=239.48
[PG] Iter 219/350 | Mean Reward=322.88
[PG] Iter 220/350 | Mean Reward=302.94
Saved latest PG checkpoint (iter 220) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 221/350 | Mean Reward=286.94
[PG] Iter 222/350 | Mean Reward=356.27
[PG] Iter 223/350 | Mean Reward=334.73
[PG] Iter 224/350 | Mean Reward=298.28
[PG] Iter 225/350 | Mean Reward=358.60
[PG] Iter 226/350 | Mean Reward=322.31
[PG] Iter 227/350 | Mean Reward=326.88
[PG] Iter 228/350 | Mean Reward=315.12
[PG] Iter 229/350 | Mean Reward=295.22
[PG] Iter 230/350 | Mean Reward=306.41
Saved latest PG checkpoint (iter 230) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 231/350 | Mean Reward=244.76
[PG] Iter 232/350 | Mean Reward=227.50
[PG] Iter 233/350 | Mean Reward=205.76
[PG] Iter 234/350 | Mean Reward=171.37
[PG] Iter 235/350 | Mean Reward=163.12
[PG] Iter 236/350 | Mean Reward=163.65
[PG] Iter 237/350 | Mean Reward=150.62
[PG] Iter 238/350 | Mean Reward=129.38
