Using device: cpu
PG training on CartPole-v1 | reward_to_go=False adv_norm=True
[PG] Iter 313/350 | Mean Reward=500.00
[PG] Iter 314/350 | Mean Reward=500.00
[PG] Iter 315/350 | Mean Reward=500.00
[PG] Iter 316/350 | Mean Reward=498.91
[PG] Iter 317/350 | Mean Reward=500.00
[PG] Iter 318/350 | Mean Reward=500.00
[PG] Iter 319/350 | Mean Reward=499.27
[PG] Iter 320/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 320) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 321/350 | Mean Reward=500.00
[PG] Iter 322/350 | Mean Reward=500.00
[PG] Iter 323/350 | Mean Reward=500.00
[PG] Iter 324/350 | Mean Reward=500.00
[PG] Iter 325/350 | Mean Reward=500.00
[PG] Iter 326/350 | Mean Reward=500.00
[PG] Iter 327/350 | Mean Reward=500.00
[PG] Iter 328/350 | Mean Reward=500.00
[PG] Iter 329/350 | Mean Reward=471.64
[PG] Iter 330/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 330) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 331/350 | Mean Reward=500.00
[PG] Iter 332/350 | Mean Reward=500.00
[PG] Iter 333/350 | Mean Reward=500.00
[PG] Iter 334/350 | Mean Reward=500.00
[PG] Iter 335/350 | Mean Reward=500.00
[PG] Iter 336/350 | Mean Reward=500.00
[PG] Iter 337/350 | Mean Reward=500.00
[PG] Iter 338/350 | Mean Reward=500.00
[PG] Iter 339/350 | Mean Reward=500.00
[PG] Iter 340/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 340) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 341/350 | Mean Reward=500.00
[PG] Iter 342/350 | Mean Reward=500.00
[PG] Iter 343/350 | Mean Reward=500.00
[PG] Iter 344/350 | Mean Reward=500.00
[PG] Iter 345/350 | Mean Reward=500.00
[PG] Iter 346/350 | Mean Reward=500.00
[PG] Iter 347/350 | Mean Reward=500.00
[PG] Iter 348/350 | Mean Reward=500.00
[PG] Iter 349/350 | Mean Reward=500.00
[PG] Iter 350/350 | Mean Reward=490.18
Saved latest PG checkpoint (iter 350) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
Saved PG plot: P3/Q2/cartpole/plots/pg_CartPole-v1_20251102_180541.png
