Using device: cpu
PG training on CartPole-v1 | reward_to_go=True adv_norm=True
[PG] Iter 110/350 | Mean Reward=334.87
Saved latest PG checkpoint (iter 110) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 111/350 | Mean Reward=406.46
[PG] Iter 112/350 | Mean Reward=398.85
[PG] Iter 113/350 | Mean Reward=445.83
[PG] Iter 114/350 | Mean Reward=448.92
[PG] Iter 115/350 | Mean Reward=414.00
[PG] Iter 116/350 | Mean Reward=440.00
[PG] Iter 117/350 | Mean Reward=398.08
[PG] Iter 118/350 | Mean Reward=421.15
[PG] Iter 119/350 | Mean Reward=434.92
[PG] Iter 120/350 | Mean Reward=424.58
Saved latest PG checkpoint (iter 120) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 121/350 | Mean Reward=430.92
[PG] Iter 122/350 | Mean Reward=417.42
[PG] Iter 123/350 | Mean Reward=436.83
[PG] Iter 124/350 | Mean Reward=434.00
[PG] Iter 125/350 | Mean Reward=404.23
[PG] Iter 126/350 | Mean Reward=454.75
[PG] Iter 127/350 | Mean Reward=472.18
[PG] Iter 128/350 | Mean Reward=430.00
[PG] Iter 129/350 | Mean Reward=422.25
[PG] Iter 130/350 | Mean Reward=434.33
Saved latest PG checkpoint (iter 130) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 131/350 | Mean Reward=446.08
[PG] Iter 132/350 | Mean Reward=473.55
[PG] Iter 133/350 | Mean Reward=462.00
[PG] Iter 134/350 | Mean Reward=473.18
[PG] Iter 135/350 | Mean Reward=453.92
[PG] Iter 136/350 | Mean Reward=447.92
[PG] Iter 137/350 | Mean Reward=479.91
[PG] Iter 138/350 | Mean Reward=494.36
[PG] Iter 139/350 | Mean Reward=468.55
[PG] Iter 140/350 | Mean Reward=466.00
Saved latest PG checkpoint (iter 140) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 141/350 | Mean Reward=430.67
[PG] Iter 142/350 | Mean Reward=478.00
[PG] Iter 143/350 | Mean Reward=456.09
[PG] Iter 144/350 | Mean Reward=481.82
[PG] Iter 145/350 | Mean Reward=457.92
[PG] Iter 146/350 | Mean Reward=463.27
[PG] Iter 147/350 | Mean Reward=441.33
[PG] Iter 148/350 | Mean Reward=455.50
[PG] Iter 149/350 | Mean Reward=487.36
[PG] Iter 150/350 | Mean Reward=493.82
Saved latest PG checkpoint (iter 150) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 151/350 | Mean Reward=485.36
[PG] Iter 152/350 | Mean Reward=492.64
[PG] Iter 153/350 | Mean Reward=467.55
[PG] Iter 154/350 | Mean Reward=469.45
[PG] Iter 155/350 | Mean Reward=394.31
[PG] Iter 156/350 | Mean Reward=500.00
[PG] Iter 157/350 | Mean Reward=496.73
[PG] Iter 158/350 | Mean Reward=427.17
[PG] Iter 159/350 | Mean Reward=500.00
[PG] Iter 160/350 | Mean Reward=481.36
Saved latest PG checkpoint (iter 160) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 161/350 | Mean Reward=471.27
[PG] Iter 162/350 | Mean Reward=479.73
[PG] Iter 163/350 | Mean Reward=469.09
[PG] Iter 164/350 | Mean Reward=431.50
[PG] Iter 165/350 | Mean Reward=456.45
[PG] Iter 166/350 | Mean Reward=474.18
[PG] Iter 167/350 | Mean Reward=418.33
[PG] Iter 168/350 | Mean Reward=462.36
[PG] Iter 169/350 | Mean Reward=445.33
[PG] Iter 170/350 | Mean Reward=475.45
Saved latest PG checkpoint (iter 170) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 171/350 | Mean Reward=493.64
[PG] Iter 172/350 | Mean Reward=483.64
[PG] Iter 173/350 | Mean Reward=458.64
[PG] Iter 174/350 | Mean Reward=417.50
[PG] Iter 175/350 | Mean Reward=454.42
[PG] Iter 176/350 | Mean Reward=486.09
[PG] Iter 177/350 | Mean Reward=467.64
[PG] Iter 178/350 | Mean Reward=493.64
[PG] Iter 179/350 | Mean Reward=464.18
[PG] Iter 180/350 | Mean Reward=476.36
Saved latest PG checkpoint (iter 180) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 181/350 | Mean Reward=472.82
[PG] Iter 182/350 | Mean Reward=441.67
[PG] Iter 183/350 | Mean Reward=500.00
[PG] Iter 184/350 | Mean Reward=495.73
[PG] Iter 185/350 | Mean Reward=424.92
[PG] Iter 186/350 | Mean Reward=498.27
[PG] Iter 187/350 | Mean Reward=487.18
[PG] Iter 188/350 | Mean Reward=497.73
[PG] Iter 189/350 | Mean Reward=472.00
[PG] Iter 190/350 | Mean Reward=452.50
Saved latest PG checkpoint (iter 190) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 191/350 | Mean Reward=500.00
[PG] Iter 192/350 | Mean Reward=492.18
[PG] Iter 193/350 | Mean Reward=420.00
[PG] Iter 194/350 | Mean Reward=475.00
[PG] Iter 195/350 | Mean Reward=458.82
[PG] Iter 196/350 | Mean Reward=451.08
[PG] Iter 197/350 | Mean Reward=394.92
[PG] Iter 198/350 | Mean Reward=432.67
[PG] Iter 199/350 | Mean Reward=421.42
[PG] Iter 200/350 | Mean Reward=457.55
Saved latest PG checkpoint (iter 200) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 201/350 | Mean Reward=486.18
[PG] Iter 202/350 | Mean Reward=433.67
[PG] Iter 203/350 | Mean Reward=449.67
[PG] Iter 204/350 | Mean Reward=476.82
[PG] Iter 205/350 | Mean Reward=471.91
[PG] Iter 206/350 | Mean Reward=500.00
[PG] Iter 207/350 | Mean Reward=469.55
[PG] Iter 208/350 | Mean Reward=499.64
[PG] Iter 209/350 | Mean Reward=500.00
[PG] Iter 210/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 210) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 211/350 | Mean Reward=451.58
[PG] Iter 212/350 | Mean Reward=459.18
[PG] Iter 213/350 | Mean Reward=456.25
[PG] Iter 214/350 | Mean Reward=500.00
