Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
[PG] Iter 302/500 | Mean Reward=104.29
[PG] Iter 303/500 | Mean Reward=12.98
[PG] Iter 304/500 | Mean Reward=73.19
[PG] Iter 305/500 | Mean Reward=96.25
[PG] Iter 306/500 | Mean Reward=23.44
[PG] Iter 307/500 | Mean Reward=107.51
[PG] Iter 308/500 | Mean Reward=61.27
[PG] Iter 309/500 | Mean Reward=125.22
[PG] Iter 310/500 | Mean Reward=94.28
Saved latest PG checkpoint (iter 310) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 311/500 | Mean Reward=61.84
[PG] Iter 312/500 | Mean Reward=84.29
[PG] Iter 313/500 | Mean Reward=119.53
[PG] Iter 314/500 | Mean Reward=86.09
[PG] Iter 315/500 | Mean Reward=113.51
[PG] Iter 316/500 | Mean Reward=82.02
[PG] Iter 317/500 | Mean Reward=77.94
[PG] Iter 318/500 | Mean Reward=150.42
[PG] Iter 319/500 | Mean Reward=90.37
[PG] Iter 320/500 | Mean Reward=116.45
Saved latest PG checkpoint (iter 320) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 321/500 | Mean Reward=77.12
[PG] Iter 322/500 | Mean Reward=85.69
[PG] Iter 323/500 | Mean Reward=58.99
[PG] Iter 324/500 | Mean Reward=96.26
[PG] Iter 325/500 | Mean Reward=99.01
[PG] Iter 326/500 | Mean Reward=121.44
[PG] Iter 327/500 | Mean Reward=94.25
[PG] Iter 328/500 | Mean Reward=97.16
[PG] Iter 329/500 | Mean Reward=83.34
[PG] Iter 330/500 | Mean Reward=83.91
Saved latest PG checkpoint (iter 330) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 331/500 | Mean Reward=105.50
[PG] Iter 332/500 | Mean Reward=63.31
[PG] Iter 333/500 | Mean Reward=139.93
[PG] Iter 334/500 | Mean Reward=96.91
[PG] Iter 335/500 | Mean Reward=80.72
[PG] Iter 336/500 | Mean Reward=73.23
