Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
Saved latest PG checkpoint (iter 200) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 201/500 | Mean Reward=1.48
[PG] Iter 202/500 | Mean Reward=42.44
[PG] Iter 203/500 | Mean Reward=-4.42
[PG] Iter 204/500 | Mean Reward=15.18
[PG] Iter 205/500 | Mean Reward=-82.51
[PG] Iter 206/500 | Mean Reward=-56.49
[PG] Iter 207/500 | Mean Reward=-55.67
[PG] Iter 208/500 | Mean Reward=41.41
[PG] Iter 209/500 | Mean Reward=6.15
[PG] Iter 210/500 | Mean Reward=-9.11
Saved latest PG checkpoint (iter 210) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 211/500 | Mean Reward=-42.11
[PG] Iter 212/500 | Mean Reward=-48.78
[PG] Iter 213/500 | Mean Reward=7.58
[PG] Iter 214/500 | Mean Reward=-9.74
[PG] Iter 215/500 | Mean Reward=4.96
[PG] Iter 216/500 | Mean Reward=-15.49
[PG] Iter 217/500 | Mean Reward=-18.48
[PG] Iter 218/500 | Mean Reward=-51.03
[PG] Iter 219/500 | Mean Reward=-84.76
[PG] Iter 220/500 | Mean Reward=-11.55
Saved latest PG checkpoint (iter 220) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 221/500 | Mean Reward=-16.39
[PG] Iter 222/500 | Mean Reward=-94.34
[PG] Iter 223/500 | Mean Reward=-69.83
[PG] Iter 224/500 | Mean Reward=55.29
[PG] Iter 225/500 | Mean Reward=-15.36
[PG] Iter 226/500 | Mean Reward=33.38
[PG] Iter 227/500 | Mean Reward=56.44
[PG] Iter 228/500 | Mean Reward=66.49
[PG] Iter 229/500 | Mean Reward=17.36
[PG] Iter 230/500 | Mean Reward=70.93
Saved latest PG checkpoint (iter 230) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 231/500 | Mean Reward=24.58
[PG] Iter 232/500 | Mean Reward=13.34
[PG] Iter 233/500 | Mean Reward=13.88
[PG] Iter 234/500 | Mean Reward=44.03
[PG] Iter 235/500 | Mean Reward=-3.54
[PG] Iter 236/500 | Mean Reward=10.26
[PG] Iter 237/500 | Mean Reward=36.35
[PG] Iter 238/500 | Mean Reward=27.10
[PG] Iter 239/500 | Mean Reward=37.87
[PG] Iter 240/500 | Mean Reward=28.93
Saved latest PG checkpoint (iter 240) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 241/500 | Mean Reward=46.79
